ppt_id,condition,nom_sfx,acc_sfx,trial_idx,task,agent,patient,verb,orientation,sentence,sentence_type,sentence_accepted,button_pressed,rt
8ny80xq4bpfpdp2,Production,vu,jo,354,judge,nun,fairy,kiss,L,buvu zijo kuv,case_marking,0,f,9229
8ny80xq4bpfpdp2,Production,vu,jo,356,judge,nun,pirate,poke,R,bujo lovu wox,word_order,0,f,9180
8ny80xq4bpfpdp2,Production,vu,jo,358,judge,princess,doctor,poke,R,fujo ruvu wox,word_order,0,f,9492
8ny80xq4bpfpdp2,Production,vu,jo,359,judge,footballer,doctor,poke,R,zejo ruvu wox,word_order,1,j,10774
8ny80xq4bpfpdp2,Production,vu,jo,360,judge,nun,pirate,kiss,L,bujo lovu kuv,word_order,1,j,9237
8ny80xq4bpfpdp2,Production,vu,jo,361,judge,footballer,fairy,kiss,L,zejo zivu kuv,word_order,1,j,11551
8ny80xq4bpfpdp2,Production,vu,jo,363,judge,princess,fairy,kiss,L,fujo zivu kuv,word_order,1,j,12613
8ny80xq4bpfpdp2,Production,vu,jo,365,judge,princess,pirate,poke,L,fujo lovu wox,word_order,1,j,8246
8ny80xq4bpfpdp2,Production,vu,jo,367,judge,nun,pirate,kiss,R,buvu lojo kuv,case_marking,0,f,3684
8ny80xq4bpfpdp2,Production,vu,jo,368,judge,princess,doctor,kiss,L,fujo ruvu kuv,word_order,1,j,12903
8ny80xq4bpfpdp2,Production,vu,jo,369,judge,nun,doctor,kiss,L,bujo ruvu kuv,word_order,1,j,3365
8ny80xq4bpfpdp2,Production,vu,jo,371,judge,princess,doctor,poke,R,fuvu rujo wox,case_marking,1,j,6853
8ny80xq4bpfpdp2,Production,vu,jo,372,judge,footballer,pirate,kiss,L,zevu lojo kuv,case_marking,0,f,6828
8ny80xq4bpfpdp2,Production,vu,jo,373,judge,princess,fairy,kiss,R,fuvu zijo kuv,case_marking,0,f,10438
8ny80xq4bpfpdp2,Production,vu,jo,375,judge,princess,pirate,poke,L,fuvu lojo wox,case_marking,0,f,8236
8ny80xq4bpfpdp2,Production,vu,jo,376,judge,footballer,pirate,poke,L,zevu lojo wox,case_marking,0,f,1999
8ny80xq4bpfpdp2,Production,vu,jo,377,judge,footballer,pirate,poke,R,zejo lovu wox,word_order,1,j,7239
8ny80xq4bpfpdp2,Production,vu,jo,378,judge,nun,doctor,poke,R,bujo ruvu wox,word_order,1,j,9118
8ny80xq4bpfpdp2,Production,vu,jo,380,judge,nun,doctor,kiss,R,buvu rujo kuv,case_marking,0,f,6635
8ny80xq4bpfpdp2,Production,vu,jo,383,judge,nun,doctor,poke,R,buvu rujo wox,case_marking,0,f,5189
8ny80xq4bpfpdp2,Production,vu,jo,384,judge,princess,doctor,kiss,L,fuvu rujo kuv,case_marking,0,f,4838
8ny80xq4bpfpdp2,Production,vu,jo,385,judge,nun,fairy,poke,R,bujo zivu wox,word_order,1,j,5965
8ny80xq4bpfpdp2,Production,vu,jo,388,judge,nun,fairy,kiss,L,bujo zivu kuv,word_order,1,j,6589
8ny80xq4bpfpdp2,Production,vu,jo,389,judge,princess,pirate,kiss,R,fuvu lojo kuv,case_marking,0,f,3372
8ny80xq4bpfpdp2,Production,vu,jo,390,judge,princess,pirate,kiss,R,fujo lovu kuv,word_order,0,f,7903
befdpc0l7ttwvcy,Production,vu,jo,346,judge,footballer,cowboy,push,R,zevu kijo vaf,case_marking,0,j,5483
befdpc0l7ttwvcy,Production,vu,jo,348,judge,footballer,wizard,kick,R,zevu wujo kex,case_marking,0,j,3259
befdpc0l7ttwvcy,Production,vu,jo,349,judge,pirate,wizard,kick,R,zijo wuvu kex,word_order,0,j,6983
befdpc0l7ttwvcy,Production,vu,jo,350,judge,pirate,cowboy,push,R,zijo kivu vaf,word_order,1,f,8815
befdpc0l7ttwvcy,Production,vu,jo,351,judge,chef,doctor,kick,R,bujo guvu kex,word_order,0,j,9664
befdpc0l7ttwvcy,Production,vu,jo,353,judge,pirate,wizard,push,L,zijo wuvu vaf,word_order,1,f,9349
befdpc0l7ttwvcy,Production,vu,jo,354,judge,footballer,doctor,kick,R,zevu gujo kex,case_marking,0,j,3616
befdpc0l7ttwvcy,Production,vu,jo,355,judge,pirate,wizard,kick,R,zivu wujo kex,case_marking,0,j,10162
befdpc0l7ttwvcy,Production,vu,jo,356,judge,chef,cowboy,kick,R,buvu kijo kex,case_marking,1,f,2516
befdpc0l7ttwvcy,Production,vu,jo,357,judge,pirate,cowboy,kick,R,zijo kivu kex,word_order,1,f,3862
befdpc0l7ttwvcy,Production,vu,jo,359,judge,chef,doctor,kick,R,buvu gujo kex,case_marking,1,f,3805
befdpc0l7ttwvcy,Production,vu,jo,360,judge,chef,doctor,push,L,buvu gujo vaf,case_marking,0,j,2979
befdpc0l7ttwvcy,Production,vu,jo,361,judge,pirate,doctor,push,R,zijo guvu vaf,word_order,1,f,4245
befdpc0l7ttwvcy,Production,vu,jo,362,judge,pirate,cowboy,push,L,zivu kijo vaf,case_marking,0,j,4611
befdpc0l7ttwvcy,Production,vu,jo,363,judge,footballer,doctor,push,R,zejo guvu vaf,word_order,0,j,2557
befdpc0l7ttwvcy,Production,vu,jo,364,judge,pirate,doctor,push,L,zivu gujo vaf,case_marking,1,f,4144
befdpc0l7ttwvcy,Production,vu,jo,366,judge,chef,cowboy,push,L,bujo kivu vaf,word_order,1,f,3460
befdpc0l7ttwvcy,Production,vu,jo,370,judge,footballer,wizard,push,R,zevu wujo vaf,case_marking,0,j,2353
befdpc0l7ttwvcy,Production,vu,jo,372,judge,pirate,wizard,push,L,zivu wujo vaf,case_marking,1,f,3479
befdpc0l7ttwvcy,Production,vu,jo,373,judge,footballer,cowboy,kick,L,zejo kivu kex,word_order,1,f,2422
befdpc0l7ttwvcy,Production,vu,jo,375,judge,pirate,doctor,kick,R,zijo guvu kex,word_order,1,f,4382
befdpc0l7ttwvcy,Production,vu,jo,377,judge,chef,wizard,push,L,bujo wuvu vaf,word_order,1,f,1645
befdpc0l7ttwvcy,Production,vu,jo,378,judge,chef,wizard,kick,L,buvu wujo kex,case_marking,1,f,1071
befdpc0l7ttwvcy,Production,vu,jo,379,judge,footballer,cowboy,push,R,zejo kivu vaf,word_order,0,j,3761
befdpc0l7ttwvcy,Production,vu,jo,380,judge,chef,cowboy,kick,R,bujo kivu kex,word_order,1,f,8086
befdpc0l7ttwvcy,Production,vu,jo,383,judge,footballer,wizard,push,L,zejo wuvu vaf,word_order,1,f,4942
befdpc0l7ttwvcy,Production,vu,jo,384,judge,footballer,wizard,kick,R,zejo wuvu kex,word_order,1,f,2829
befdpc0l7ttwvcy,Production,vu,jo,386,judge,chef,cowboy,push,L,buvu kijo vaf,case_marking,1,f,3086
befdpc0l7ttwvcy,Production,vu,jo,387,judge,pirate,doctor,kick,R,zivu gujo kex,case_marking,1,f,5674
befdpc0l7ttwvcy,Production,vu,jo,389,judge,chef,doctor,push,R,bujo guvu vaf,word_order,1,f,3529
befdpc0l7ttwvcy,Production,vu,jo,392,judge,chef,wizard,kick,R,bujo wuvu kex,word_order,1,f,3882
befdpc0l7ttwvcy,Production,vu,jo,395,judge,footballer,doctor,kick,R,zejo guvu kex,word_order,1,f,2479
befdpc0l7ttwvcy,Production,vu,jo,396,judge,chef,wizard,push,L,buvu wujo vaf,case_marking,1,f,7706
befdpc0l7ttwvcy,Production,vu,jo,397,judge,footballer,cowboy,kick,R,zevu kijo kex,case_marking,1,f,3479
befdpc0l7ttwvcy,Production,vu,jo,398,judge,footballer,doctor,push,R,zevu gujo vaf,case_marking,1,f,1421
befdpc0l7ttwvcy,Production,vu,jo,399,judge,pirate,cowboy,kick,R,zivu kijo kex,case_marking,1,f,1801
bnhw36c8s5pbd7x,Production,jo,vu,344,judge,princess,pirate,kick,R,zijo lovu vof,case_marking,1,j,10435
bnhw36c8s5pbd7x,Production,jo,vu,343,judge,fairy,chef,admire,L,ruvu bujo zux,word_order,1,j,8750
bnhw36c8s5pbd7x,Production,jo,vu,342,judge,princess,pirate,admire,R,zivu lojo zux,word_order,1,j,12722
bnhw36c8s5pbd7x,Production,jo,vu,346,judge,princess,pirate,admire,R,zijo lovu zux,case_marking,1,j,9005
bnhw36c8s5pbd7x,Production,jo,vu,347,judge,footballer,pirate,admire,L,zevu lojo zux,word_order,1,j,5426
bnhw36c8s5pbd7x,Production,jo,vu,348,judge,footballer,doctor,admire,R,zejo kivu zux,case_marking,1,j,8259
bnhw36c8s5pbd7x,Production,jo,vu,350,judge,footballer,pirate,kick,R,zejo lovu vof,case_marking,1,j,4928
bnhw36c8s5pbd7x,Production,jo,vu,351,judge,princess,doctor,admire,R,zijo kivu zux,case_marking,1,j,9010
bnhw36c8s5pbd7x,Production,jo,vu,354,judge,fairy,chef,admire,R,rujo buvu zux,case_marking,1,j,6332
bnhw36c8s5pbd7x,Production,jo,vu,353,judge,princess,chef,admire,L,zivu bujo zux,word_order,1,j,4777
bnhw36c8s5pbd7x,Production,jo,vu,355,judge,fairy,doctor,kick,L,ruvu kijo vof,word_order,1,j,5725
bnhw36c8s5pbd7x,Production,jo,vu,357,judge,footballer,chef,admire,L,zevu bujo zux,word_order,1,j,5232
bnhw36c8s5pbd7x,Production,jo,vu,356,judge,princess,pirate,kick,R,zivu lojo vof,word_order,1,j,4490
bnhw36c8s5pbd7x,Production,jo,vu,360,judge,fairy,chef,kick,R,rujo buvu vof,case_marking,1,j,4892
bnhw36c8s5pbd7x,Production,jo,vu,362,judge,footballer,doctor,kick,L,zevu kijo vof,word_order,1,j,4137
bnhw36c8s5pbd7x,Production,jo,vu,363,judge,fairy,doctor,kick,R,rujo kivu vof,case_marking,1,j,5763
bnhw36c8s5pbd7x,Production,jo,vu,361,judge,princess,doctor,kick,L,zijo kivu vof,case_marking,1,j,5360
bnhw36c8s5pbd7x,Production,jo,vu,364,judge,fairy,doctor,admire,L,ruvu kijo zux,word_order,1,j,5258
bnhw36c8s5pbd7x,Production,jo,vu,368,judge,fairy,chef,kick,L,ruvu bujo vof,word_order,1,j,3769
bnhw36c8s5pbd7x,Production,jo,vu,370,judge,princess,chef,kick,L,zivu bujo vof,word_order,1,j,3954
bnhw36c8s5pbd7x,Production,jo,vu,371,judge,fairy,pirate,kick,R,rujo lovu vof,case_marking,1,j,3315
bnhw36c8s5pbd7x,Production,jo,vu,373,judge,footballer,doctor,admire,R,zevu kijo zux,word_order,1,j,3979
bnhw36c8s5pbd7x,Production,jo,vu,372,judge,princess,chef,kick,L,zijo buvu vof,case_marking,1,j,4056
bnhw36c8s5pbd7x,Production,jo,vu,377,judge,footballer,chef,admire,L,zejo buvu zux,case_marking,1,j,3822
bnhw36c8s5pbd7x,Production,jo,vu,381,judge,princess,doctor,admire,R,zivu kijo zux,word_order,1,j,3874
bnhw36c8s5pbd7x,Production,jo,vu,378,judge,fairy,pirate,admire,L,ruvu lojo zux,word_order,1,j,4397
bnhw36c8s5pbd7x,Production,jo,vu,379,judge,footballer,chef,kick,L,zevu bujo vof,word_order,1,j,3778
bnhw36c8s5pbd7x,Production,jo,vu,376,judge,fairy,doctor,admire,R,rujo kivu zux,case_marking,1,j,4275
bnhw36c8s5pbd7x,Production,jo,vu,383,judge,footballer,chef,kick,R,zejo buvu vof,case_marking,1,j,3505
bnhw36c8s5pbd7x,Production,jo,vu,385,judge,footballer,pirate,admire,R,zejo lovu zux,case_marking,1,j,4189
bnhw36c8s5pbd7x,Production,jo,vu,386,judge,footballer,pirate,kick,L,zevu lojo vof,word_order,1,j,2989
bnhw36c8s5pbd7x,Production,jo,vu,389,judge,fairy,pirate,kick,R,ruvu lojo vof,word_order,1,j,3670
bnhw36c8s5pbd7x,Production,jo,vu,388,judge,princess,chef,admire,R,zijo buvu zux,case_marking,1,j,4234
bnhw36c8s5pbd7x,Production,jo,vu,391,judge,fairy,pirate,admire,R,rujo lovu zux,case_marking,1,j,6833
bnhw36c8s5pbd7x,Production,jo,vu,392,judge,footballer,doctor,kick,R,zejo kivu vof,case_marking,1,j,3055
bnhw36c8s5pbd7x,Production,jo,vu,394,judge,princess,doctor,kick,R,zivu kijo vof,word_order,1,j,3736
dql7e341wvzz2lr,Production,vu,jo,344,judge,fairy,pirate,kiss,L,kijo guvu gix,word_order,1,f,3428
dql7e341wvzz2lr,Production,vu,jo,346,judge,footballer,pirate,admire,R,fujo guvu puv,word_order,0,j,2447
dql7e341wvzz2lr,Production,vu,jo,348,judge,chef,princess,admire,L,rujo lovu puv,word_order,0,j,1655
dql7e341wvzz2lr,Production,vu,jo,349,judge,footballer,cowboy,kiss,R,fujo zivu gix,word_order,0,j,1223
dql7e341wvzz2lr,Production,vu,jo,350,judge,chef,princess,kiss,R,rujo lovu gix,word_order,0,j,1134
dql7e341wvzz2lr,Production,vu,jo,353,judge,chef,princess,admire,R,ruvu lojo puv,case_marking,0,j,5426
